sample	map_yield_gb	map_cov_mean
MFD00392_20	7.78	12.02
MFD00392_40	19.62	11.11
MFD00392_60	32.75	11.03
MFD00392_80	46.55	11.13
MFD00392_100	60.93	11.23
MFD05176_20	7.70	13.15
MFD05176_40	19.49	12.15
MFD05176_60	32.54	11.76
MFD05176_80	46.26	11.69
MFD05176_100	60.41	11.84
MFD08497_20	7.07	12.43
MFD08497_40	18.05	11.95
MFD08497_60	30.27	11.61
MFD08497_80	43.26	11.63
MFD08497_100	56.74	11.71
MFD02416_20	13.65	10.93
MFD02416_40	30.03	13.66
MFD02416_60	46.84	15.89
MFD02416_80	63.88	17.75
MFD02416_100	81.11	19.28
MFD05684_20	12.94	10.81
MFD05684_40	28.85	13.05
MFD05684_60	45.26	14.84
MFD05684_80	61.94	16.38
MFD05684_100	78.78	17.67
MFD01721_20	13.38	11.80
MFD01721_40	29.34	14.50
MFD01721_60	45.87	16.30
MFD01721_80	62.72	17.79
MFD01721_100	79.77	19.10
