sample	kaiju_read_n	kaiju_read_bp	kaiju_read_n50
MFD00392_20	638874	1679545822	7688
MFD00392_40	1276091	3352757179	7685
MFD00392_60	1914460	5019939227	7675
MFD00392_80	2551451	6704319608	7681
MFD00392_100	3190107	8381046797	7683
MFD05176_20	1081478	2516735326	3742
MFD05176_40	2161169	5041185210	3756
MFD05176_60	3242297	7563178432	3758
MFD05176_80	4318035	10072020650	3754
MFD05176_100	5401465	12597446266	3758
MFD08497_20	2020993	3636073532	2396
MFD08497_40	4039954	7268828801	2399
MFD08497_60	6057505	10902217481	2398
MFD08497_80	8084196	14543913990	2397
MFD08497_100	10103193	18177043860	2397
MFD02416_20	1428860	2645264624	4123
MFD02416_40	2857401	5281958456	4116
MFD02416_60	4289560	7926789460	4116
MFD02416_80	5716632	10561837938	4117
MFD02416_100	7145022	13206365770	4119
MFD05684_20	1168658	2623683711	3852
MFD05684_40	2341345	5251981119	3849
MFD05684_60	3510346	7877115841	3848
MFD05684_80	4684134	10497372580	3845
MFD05684_100	5851793	13121140463	3849
MFD01721_20	716077	2090214202	4766
MFD01721_40	1428836	4168916601	4763
MFD01721_60	2145493	6261051967	4767
MFD01721_80	2861578	8354042376	4768
MFD01721_100	3577771	10444031015	4766
