sample	melon_read_otus
MFD00392_100	7247
MFD00392_20	3613
MFD00392_40	4937
MFD00392_60	5912
MFD00392_80	6536
MFD01721_100	7893
MFD01721_20	3896
MFD01721_40	5358
MFD01721_60	6342
MFD01721_80	7147
MFD02416_100	8340
MFD02416_20	4011
MFD02416_40	5598
MFD02416_60	6646
MFD02416_80	7610
MFD05176_100	8400
MFD05176_20	4108
MFD05176_40	5719
MFD05176_60	6754
MFD05176_80	7664
MFD05684_100	8603
MFD05684_20	4109
MFD05684_40	5757
MFD05684_60	6899
MFD05684_80	7775
MFD08497_100	8845
MFD08497_20	4361
MFD08497_40	5967
MFD08497_60	7156
MFD08497_80	8080
